student_id,student_name,email,join_date,country
1,Student_1,student1@mail.com,2024-06-12,India
2,Student_2,student2@mail.com,2024-01-07,UK
3,Student_3,student3@mail.com,2024-03-03,USA
4,Student_4,student4@mail.com,2024-02-05,India
5,Student_5,student5@mail.com,2024-06-22,Australia
6,Student_6,student6@mail.com,2024-01-23,Australia
7,Student_7,student7@mail.com,2024-04-18,India
8,Student_8,student8@mail.com,2024-01-08,India
9,Student_9,student9@mail.com,2024-02-25,USA
10,Student_10,student10@mail.com,2024-05-09,Australia
11,Student_11,student11@mail.com,2024-01-07,Australia
12,Student_12,student12@mail.com,2024-02-20,Australia
13,Student_13,student13@mail.com,2024-04-17,USA
14,Student_14,student14@mail.com,2024-04-24,Australia
15,Student_15,student15@mail.com,2024-03-12,India
16,Student_16,student16@mail.com,2024-02-10,Canada
17,Student_17,student17@mail.com,2024-03-28,UK
18,Student_18,student18@mail.com,2024-02-09,USA
19,Student_19,student19@mail.com,2024-03-27,India
20,Student_20,student20@mail.com,2024-01-24,Canada
21,Student_21,student21@mail.com,2024-01-25,UK
22,Student_22,student22@mail.com,2024-03-29,Australia
23,Student_23,student23@mail.com,2024-03-08,India
24,Student_24,student24@mail.com,2024-04-27,Australia
25,Student_25,student25@mail.com,2024-02-01,Canada
26,Student_26,student26@mail.com,2024-01-21,Australia
27,Student_27,student27@mail.com,2024-03-16,Australia
28,Student_28,student28@mail.com,2024-04-02,Australia
29,Student_29,student29@mail.com,2024-02-19,India
30,Student_30,student30@mail.com,2024-01-12,USA
31,Student_31,student31@mail.com,2024-03-15,India
32,Student_32,student32@mail.com,2024-02-29,India
33,Student_33,student33@mail.com,2024-04-07,UK
34,Student_34,student34@mail.com,2024-04-26,UK
35,Student_35,student35@mail.com,2024-02-11,UK
36,Student_36,student36@mail.com,2024-03-31,USA
37,Student_37,student37@mail.com,2024-06-20,UK
38,Student_38,student38@mail.com,2024-06-28,India
39,Student_39,student39@mail.com,2024-06-04,USA
40,Student_40,student40@mail.com,2024-05-16,USA
41,Student_41,student41@mail.com,2024-02-11,Canada
42,Student_42,student42@mail.com,2024-04-07,UK
43,Student_43,student43@mail.com,2024-06-12,Australia
44,Student_44,student44@mail.com,2024-02-26,UK
45,Student_45,student45@mail.com,2024-01-15,USA
46,Student_46,student46@mail.com,2024-01-09,UK
47,Student_47,student47@mail.com,2024-04-12,UK
48,Student_48,student48@mail.com,2024-01-17,USA
49,Student_49,student49@mail.com,2024-05-25,UK
50,Student_50,student50@mail.com,2024-02-24,Canada
51,Student_51,student51@mail.com,2024-04-11,Canada
52,Student_52,student52@mail.com,2024-02-06,UK
53,Student_53,student53@mail.com,2024-02-05,USA
54,Student_54,student54@mail.com,2024-05-23,Australia
55,Student_55,student55@mail.com,2024-03-08,Australia
56,Student_56,student56@mail.com,2024-04-19,Australia
57,Student_57,student57@mail.com,2024-04-12,UK
58,Student_58,student58@mail.com,2024-02-26,USA
59,Student_59,student59@mail.com,2024-05-10,Canada
60,Student_60,student60@mail.com,2024-01-24,India
61,Student_61,student61@mail.com,2024-01-29,USA
62,Student_62,student62@mail.com,2024-06-09,USA
63,Student_63,student63@mail.com,2024-06-23,Canada
64,Student_64,student64@mail.com,2024-06-01,India
65,Student_65,student65@mail.com,2024-04-08,Canada
66,Student_66,student66@mail.com,2024-06-01,Canada
67,Student_67,student67@mail.com,2024-05-15,UK
68,Student_68,student68@mail.com,2024-05-21,India
69,Student_69,student69@mail.com,2024-06-23,India
70,Student_70,student70@mail.com,2024-06-23,Australia
71,Student_71,student71@mail.com,2024-03-09,UK
72,Student_72,student72@mail.com,2024-01-29,UK
